covered_points,tot_points,k
0,41,1
0,41,1
0,41,1
1,41,1
0,41,1
0,41,1
0,41,1
2,41,1
0,41,1
0,41,1
0,41,1
0,41,1
1,41,1
0,41,1
4,41,1
0,41,1
1,41,1
0,41,1
0,41,1
0,41,1
1,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
1,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
4,41,1
0,41,1
0,41,1
0,41,1
1,41,1
1,41,1
1,41,1
0,41,1
0,41,1
0,41,1
0,41,1
1,41,1
3,41,1
0,41,1
0,41,1
3,41,1
0,41,1
0,41,1
1,41,1
4,41,1
0,41,1
0,41,1
1,41,1
1,41,1
7,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
3,41,1
1,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
1,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
1,41,1
0,41,1
0,41,1
2,41,1
0,41,1
0,41,1
1,41,1
0,41,1
0,41,1
2,41,1
2,41,1
0,41,1
0,41,1
0,41,1
4,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
1,41,1
0,41,1
0,41,1
0,41,1
1,41,1
0,41,1
0,41,1
1,41,1
4,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
2,41,1
0,41,1
1,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
1,41,1
0,41,1
2,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
1,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
2,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
1,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
1,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
2,41,1
0,41,1
0,41,1
1,41,1
0,41,1
0,41,1
0,41,1
6,41,1
0,41,1
1,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
1,41,1
2,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
3,41,1
0,41,1
0,41,1
0,41,1
0,41,1
2,41,1
0,41,1
0,41,1
1,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
1,41,1
0,41,1
2,41,1
4,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
1,41,1
0,41,1
0,41,1
1,41,1
1,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
1,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
1,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
1,41,1
0,41,1
0,41,1
0,41,1
0,41,1
1,41,1
0,41,1
1,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
2,41,1
0,41,1
2,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
4,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
1,41,1
0,41,1
0,41,1
0,41,1
0,41,1
3,41,1
1,41,1
0,41,1
1,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
3,41,1
0,41,1
0,41,1
0,41,1
0,41,1
3,41,1
0,41,1
0,41,1
0,41,1
1,41,1
1,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
3,41,1
0,41,1
0,41,1
0,41,1
0,41,1
1,41,1
0,41,1
0,41,1
0,41,1
0,41,1
1,41,1
0,41,1
0,41,1
0,41,1
0,41,1
2,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
1,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
4,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
1,41,1
2,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
4,41,1
0,41,1
1,41,1
0,41,1
1,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
1,41,1
0,41,1
1,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
1,41,1
0,41,1
0,41,1
2,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
0,41,1
1,41,1
0,41,1
