cluster,probability
33,32
5,26
6,26
2,23
52,19
17,15
47,13
30,13
20,11
9,10
0,9
50,9
54,9
21,9
40,9
14,9
3,9
1,8
48,8
16,8
24,7
42,7
26,7
59,7
83,6
93,6
31,6
12,6
58,6
64,6
56,5
57,5
78,5
73,5
49,5
99,5
39,5
46,5
62,5
7,5
35,5
32,5
27,5
43,4
55,4
71,4
11,4
94,4
34,4
100,3
74,3
109,3
68,3
69,3
108,3
8,3
85,3
75,3
37,3
84,3
105,3
111,3
10,3
104,3
106,3
38,3
13,3
23,3
25,3
53,3
122,3
28,3
44,3
120,2
95,2
96,2
97,2
98,2
4,2
123,2
101,2
121,2
103,2
102,2
112,2
119,2
118,2
117,2
107,2
116,2
115,2
114,2
113,2
110,2
82,2
92,2
91,2
41,2
36,2
45,2
29,2
51,2
22,2
19,2
18,2
60,2
61,2
15,2
63,2
65,2
66,2
67,2
70,2
72,2
76,2
77,2
79,2
80,2
81,2
86,2
87,2
88,2
89,2
90,2
124,2
