strategy,period,ratio,n_points,n_covered_points,stations,unadmissible_value,region,n_iterations,iteration_ratio
StationPositioning,2008_7_1-2009_12_31,0.025974025974025976,693,18,1,0.05,HD,511,0.7373737373737373
StationPositioning,2008_7_1-2009_12_31,0.06926406926406926,693,48,3,0.05,HD,1645,0.8111439842209073
StationPositioning,2008_7_1-2009_12_31,0.10822510822510822,693,75,5,0.05,HD,2778,0.8407990314769975
StationPositioning,2008_7_1-2009_12_31,0.2413793103448276,29,7,1,0.05,LD,6,0.20689655172413793
StationPositioning,2008_7_1-2009_12_31,0.4482758620689655,29,13,3,0.05,LD,11,0.15714285714285714
StationPositioning,2008_7_1-2009_12_31,0.5862068965517241,29,17,5,0.05,LD,14,0.14
Random,2008_7_1-2009_12_31,0.008073593073593073,693,5.595,1,0.05,HD,,
Random,2008_7_1-2009_12_31,0.022883116883116884,693,15.858,3,0.05,HD,,
Random,2008_7_1-2009_12_31,0.03774603174603175,693,26.158,5,0.05,HD,,
Random,2008_7_1-2009_12_31,0.007793103448275863,29,0.226,1,0.05,LD,,
Random,2008_7_1-2009_12_31,0.025655172413793104,29,0.744,3,0.05,LD,,
Random,2008_7_1-2009_12_31,0.03855172413793104,29,1.118,5,0.05,LD,,
DBSCAN,2008_7_1-2009_12_31,0.015873015873015872,693,11.0,1,0.05,HD,,
DBSCAN,2008_7_1-2009_12_31,0.014911014911014911,693,10.333333333333334,3,0.05,HD,,
DBSCAN,2008_7_1-2009_12_31,0.01702741702741703,693,11.8,5,0.05,HD,,
DBSCAN,2008_7_1-2009_12_31,0.20689655172413793,29,6.0,1,0.05,LD,,
DBSCAN,2008_7_1-2009_12_31,0.13793103448275862,29,4.0,3,0.05,LD,,
DBSCAN,2008_7_1-2009_12_31,0.11034482758620691,29,3.2,5,0.05,LD,,
KMeans,2008_7_1-2009_12_31,0.002886002886002886,693,2.0,1,0.05,HD,,
KMeans,2008_7_1-2009_12_31,0.006253006253006252,693,4.333333333333333,3,0.05,HD,,
KMeans,2008_7_1-2009_12_31,0.010822510822510822,693,7.5,5,0.05,HD,,
KMeans,2008_7_1-2009_12_31,0.0,29,0.0,1,0.05,LD,,
KMeans,2008_7_1-2009_12_31,0.08045977011494253,29,2.3333333333333335,3,0.05,LD,,
KMeans,2008_7_1-2009_12_31,0.041379310344827586,29,1.2,5,0.05,LD,,
StationPositioning,2008_11_1-2009_1_31,0.021526418786692758,1022,22,1,0.05,HD,888,0.8688845401174168
StationPositioning,2008_11_1-2009_1_31,0.06164383561643835,1022,63,3,0.05,HD,2636,0.8786666666666667
StationPositioning,2008_11_1-2009_1_31,0.09686888454011741,1022,99,5,0.05,HD,4388,0.8955102040816326
StationPositioning,2008_11_1-2009_1_31,0.17073170731707318,41,7,1,0.05,LD,6,0.14634146341463414
StationPositioning,2008_11_1-2009_1_31,0.36585365853658536,41,15,3,0.05,LD,24,0.22857142857142856
StationPositioning,2008_11_1-2009_1_31,0.5121951219512195,41,21,5,0.05,LD,31,0.2012987012987013
Random,2008_11_1-2009_1_31,0.007907045009784735,1022,8.081,1,0.05,HD,,
Random,2008_11_1-2009_1_31,0.023355185909980432,1022,23.869,3,0.05,HD,,
Random,2008_11_1-2009_1_31,0.038545009784735816,1022,39.393,5,0.05,HD,,
Random,2008_11_1-2009_1_31,0.008073170731707317,41,0.331,1,0.05,LD,,
Random,2008_11_1-2009_1_31,0.02478048780487805,41,1.016,3,0.05,LD,,
Random,2008_11_1-2009_1_31,0.041463414634146344,41,1.7,5,0.05,LD,,
DBSCAN,2008_11_1-2009_1_31,0.0136986301369863,1022,14.0,1,0.05,HD,,
DBSCAN,2008_11_1-2009_1_31,0.012067840834964124,1022,12.333333333333334,3,0.05,HD,,
DBSCAN,2008_11_1-2009_1_31,0.011741682974559686,1022,12.0,5,0.05,HD,,
DBSCAN,2008_11_1-2009_1_31,0.14634146341463414,41,6.0,1,0.05,LD,,
DBSCAN,2008_11_1-2009_1_31,0.11382113821138212,41,4.666666666666667,3,0.05,LD,,
DBSCAN,2008_11_1-2009_1_31,0.09268292682926829,41,3.8,5,0.05,LD,,
KMeans,2008_11_1-2009_1_31,0.004892367906066536,1022,5.0,1,0.05,HD,,
KMeans,2008_11_1-2009_1_31,0.009132420091324202,1022,9.333333333333334,3,0.05,HD,,
KMeans,2008_11_1-2009_1_31,0.011007827788649706,1022,11.25,5,0.05,HD,,
KMeans,2008_11_1-2009_1_31,0.0,41,0.0,1,0.05,LD,,
KMeans,2008_11_1-2009_1_31,0.04878048780487805,41,2.0,3,0.05,LD,,
KMeans,2008_11_1-2009_1_31,0.029268292682926828,41,1.2,5,0.05,LD,,
